Date,Price,Price After Diff,MA30 Before Diff,MA90 Before Diff
2016-11-10,26.95,-0.7699999999999996,28.540666666666667,27.22466666666667
2016-11-11,27.11,0.16000000000000014,28.502333333333336,27.259444444444448
2016-11-14,26.43,-0.6799999999999997,28.445666666666668,27.284555555555556
2016-11-15,26.78,0.3500000000000014,28.396666666666665,27.31266666666667
2016-11-16,27.5,0.7199999999999989,28.371333333333332,27.34755555555556
2016-11-17,27.49,-0.010000000000001563,28.338666666666665,27.38388888888889
2016-11-18,27.52,0.030000000000001137,28.305333333333333,27.41522222222222
2016-11-21,27.93,0.41000000000000014,28.269333333333336,27.45111111111111
2016-11-22,27.95,0.019999999999999574,28.231999999999996,27.484333333333336
2016-11-23,27.81,-0.14000000000000057,28.181,27.515888888888888
2016-11-25,27.95,0.14000000000000057,28.137666666666668,27.548777777777776
2016-11-28,27.89,-0.05999999999999872,28.087,27.582444444444445
2016-11-29,27.86,-0.030000000000001137,28.035999999999998,27.618
2016-11-30,27.63,-0.23000000000000043,27.977999999999998,27.654555555555554
2016-12-01,27.37,-0.259999999999998,27.91433333333333,27.690111111111108
2016-12-02,27.48,0.10999999999999943,27.854666666666667,27.709444444444443
2016-12-05,27.28,-0.1999999999999993,27.792333333333335,27.722666666666665
2016-12-06,27.49,0.2099999999999973,27.72833333333333,27.738666666666667
2016-12-07,27.76,0.2700000000000031,27.668333333333337,27.752555555555556
2016-12-08,28.03,0.2699999999999996,27.639333333333337,27.773777777777777
2016-12-09,28.49,0.4599999999999973,27.635,27.796444444444443
2016-12-12,28.32,-0.16999999999999815,27.63133333333333,27.817000000000004
2016-12-13,28.8,0.4800000000000004,27.645,27.838444444444445
2016-12-14,28.8,0.0,27.676,27.857444444444447
2016-12-15,28.95,0.14999999999999858,27.711000000000002,27.87688888888889
2016-12-16,28.99,0.03999999999999915,27.762,27.899000000000004
2016-12-19,29.16,0.1700000000000017,27.827,27.923222222222225
2016-12-20,29.24,0.0799999999999983,27.881666666666668,27.947555555555553
2016-12-21,29.27,0.030000000000001137,27.93166666666667,27.968666666666664
2016-12-22,29.07,-0.1999999999999993,27.976666666666667,27.987888888888886
2016-12-23,29.13,0.05999999999999872,28.049333333333333,28.008222222222226
2016-12-27,29.32,0.19000000000000128,28.122999999999998,28.031000000000006
2016-12-28,29.19,-0.129999999999999,28.215,28.051555555555556
2016-12-29,29.18,-0.010000000000001563,28.295,28.074333333333335
2016-12-30,28.95,-0.23000000000000043,28.343333333333337,28.093666666666664
2017-01-03,29.04,0.08999999999999986,28.395,28.116222222222223
2017-01-04,29.0,-0.03999999999999915,28.444333333333336,28.139666666666663
2017-01-05,29.15,0.14999999999999858,28.485,28.166555555555554
2017-01-06,29.48,0.33000000000000185,28.536,28.197444444444443
2017-01-09,29.75,0.2699999999999996,28.600666666666665,28.233555555555554
2017-01-10,29.78,0.030000000000001137,28.66166666666667,28.26977777777778
2017-01-11,29.94,0.16000000000000014,28.73,28.306
2017-01-12,29.81,-0.13000000000000256,28.795,28.338
2017-01-13,29.76,-0.04999999999999716,28.866,28.369444444444444
2017-01-17,30.0,0.23999999999999844,28.953666666666667,28.401777777777777
2017-01-18,30.0,0.0,29.037666666666667,28.441999999999997
2017-01-19,29.95,-0.05000000000000071,29.126666666666665,28.48833333333333
2017-01-20,30.0,0.05000000000000071,29.210333333333335,28.528777777777773
2017-01-23,30.02,0.019999999999999574,29.285666666666664,28.56244444444445
2017-01-24,29.99,-0.030000000000001137,29.351,28.585222222222225
2017-01-25,30.47,0.4800000000000004,29.416999999999998,28.602777777777778
2017-01-26,30.48,0.010000000000001563,29.489,28.622222222222224
2017-01-27,30.49,0.00999999999999801,29.54533333333333,28.645555555555553
2017-01-30,30.41,-0.0799999999999983,29.599,28.668
2017-01-31,30.34,-0.07000000000000028,29.64533333333333,28.689666666666668
2017-02-01,32.19,1.8499999999999979,29.752,28.72888888888889
2017-02-02,32.13,-0.05999999999999517,29.851,28.77277777777778
2017-02-03,32.27,0.14000000000000057,29.951999999999998,28.81777777777778
2017-02-06,32.57,0.29999999999999716,30.062,28.865555555555556
2017-02-07,32.88,0.3100000000000023,30.189000000000004,28.91433333333333
2017-02-08,33.01,0.12999999999999545,30.31833333333333,28.969444444444445
2017-02-09,33.1,0.09000000000000341,30.444333333333336,29.023222222222223
2017-02-10,33.03,-0.07000000000000028,30.572333333333333,29.077666666666666
2017-02-13,33.32,0.28999999999999915,30.710333333333335,29.134
2017-02-14,33.76,0.4399999999999977,30.87066666666667,29.19511111111111
2017-02-15,33.88,0.12000000000000455,31.032,29.25522222222222
2017-02-16,33.84,-0.03999999999999915,31.19333333333333,29.314333333333334
2017-02-17,33.93,0.0899999999999963,31.352666666666668,29.369
2017-02-21,34.17,0.240000000000002,31.509,29.425666666666665
2017-02-22,34.28,0.10999999999999943,31.66,29.480555555555554
2017-02-23,34.13,-0.14999999999999858,31.805000000000003,29.534777777777773
2017-02-24,34.16,0.02999999999999403,31.945666666666668,29.587555555555557
2017-02-27,34.23,0.07000000000000028,32.093,29.641333333333336
2017-02-28,34.25,0.020000000000003126,32.24266666666667,29.69555555555556
2017-03-01,34.95,0.7000000000000028,32.407666666666664,29.758555555555557
2017-03-02,34.74,-0.21000000000000085,32.565666666666665,29.819333333333336
2017-03-03,34.95,0.21000000000000085,32.73233333333334,29.883777777777777
2017-03-06,34.84,-0.10999999999999943,32.89366666666667,29.944111111111113
2017-03-07,34.88,0.03999999999999915,33.05566666666667,30.00322222222222
2017-03-08,34.75,-0.13000000000000256,33.214333333333336,30.06822222222222
2017-03-09,34.67,-0.0799999999999983,33.35433333333334,30.135444444444445
2017-03-10,34.78,0.10999999999999943,33.49766666666667,30.206
2017-03-13,34.8,0.01999999999999602,33.641333333333336,30.27722222222222
2017-03-14,34.75,-0.04999999999999716,33.786,30.353666666666665
2017-03-15,35.12,0.36999999999999744,33.94533333333334,30.43388888888889
2017-03-16,35.17,0.05000000000000426,34.044666666666664,30.519555555555552
2017-03-17,35.0,-0.1700000000000017,34.14033333333334,30.606111111111108
2017-03-20,35.37,0.36999999999999744,34.24366666666666,30.692444444444448
2017-03-21,34.96,-0.4099999999999966,34.32333333333334,30.772333333333336
2017-03-22,35.35,0.39000000000000057,34.40566666666667,30.85711111111111
2017-03-23,35.23,-0.12000000000000455,34.47966666666667,30.94911111111111
2017-03-24,35.16,-0.07000000000000028,34.54833333333333,31.038555555555554
2017-03-27,35.22,0.060000000000002274,34.62133333333334,31.136222222222223
2017-03-28,35.95,0.730000000000004,34.708999999999996,31.23811111111111
2017-03-29,36.03,0.0799999999999983,34.784666666666666,31.33288888888889
2017-03-30,35.98,-0.05000000000000426,34.85466666666666,31.42722222222222
2017-03-31,35.91,-0.07000000000000028,34.92366666666667,31.520444444444447
2017-04-03,35.92,0.010000000000005116,34.99,31.609222222222225
2017-04-04,36.19,0.269999999999996,35.05733333333333,31.700777777777773
2017-04-05,36.01,-0.17999999999999972,35.115,31.791888888888888
2017-04-06,35.91,-0.10000000000000142,35.17433333333334,31.880333333333333
2017-04-07,35.84,-0.06999999999999318,35.230333333333334,31.968666666666664
2017-04-10,35.79,-0.05000000000000426,35.282333333333334,32.05677777777778
2017-04-11,35.41,-0.38000000000000256,35.321,32.14322222222222
2017-04-12,35.45,0.04000000000000625,35.337666666666664,32.233000000000004
2017-04-13,35.26,-0.19000000000000483,35.355,32.31944444444444
