Date,Price_Diff,MA30,MA90
11/02/2020,-1.6700000000000017,118.82833333333333,126.45155555555554
10/30/2020,0.09000000000000341,118.39766666666667,126.31633333333335
10/29/2020,6.459999999999994,118.16133333333333,126.24255555555555
10/28/2020,-4.11999999999999,117.75999999999999,126.14500000000001
10/27/2020,5.3999999999999915,117.58733333333333,126.09522222222222
10/26/2020,-1.5499999999999972,117.27633333333333,126.08066666666667
10/23/2020,-0.009999999999990905,116.986,126.00977777777777
10/22/2020,0.7099999999999937,116.76933333333334,125.96111111111111
10/21/2020,1.1200000000000045,116.567,125.90344444444443
10/20/2020,0.6400000000000006,116.38133333333333,125.81888888888889
10/19/2020,-1.5300000000000011,116.15666666666668,125.68766666666666
10/16/2020,3.039999999999992,116.15566666666668,125.66277777777778
10/15/2020,1.6899999999999977,116.29299999999999,125.65966666666665
10/14/2020,0.480000000000004,116.465,125.61344444444445
10/13/2020,-0.09000000000000341,116.66266666666667,125.56055555555557
10/12/2020,3.3000000000000114,117.01433333333334,125.54277777777779
10/09/2020,-7.430000000000007,117.002,125.39944444444443
10/08/2020,-2.0,116.87966666666668,125.23566666666667
10/07/2020,0.10999999999999943,116.78133333333334,125.06055555555557
10/06/2020,-1.9200000000000017,116.57366666666667,124.838
10/05/2020,3.3400000000000034,116.44699999999999,124.62833333333334
10/02/2020,-3.480000000000004,116.239,124.38266666666665
10/01/2020,3.7700000000000102,116.15833333333333,124.176
09/30/2020,-0.980000000000004,116.03566666666666,123.95155555555554
09/29/2020,-1.7199999999999989,115.973,123.698
09/28/2020,0.8699999999999903,115.92766666666667,123.45577777777778
09/25/2020,-2.6799999999999926,115.71399999999998,123.17677777777777
09/24/2020,-4.060000000000002,115.35366666666667,122.891
09/23/2020,-1.0999999999999943,115.09266666666666,122.58133333333333
09/22/2020,4.689999999999998,115.13833333333334,122.33322222222225
09/21/2020,-1.730000000000004,115.182,122.09011111111111
09/18/2020,-3.239999999999995,115.11466666666666,121.754
09/17/2020,3.5,114.94866666666667,121.40155555555555
09/16/2020,1.789999999999992,114.97966666666666,121.05677777777778
09/15/2020,3.410000000000011,114.94433333333335,120.75255555555555
09/14/2020,-0.18000000000000682,114.95466666666667,120.48911111111111
09/11/2020,-3.3599999999999994,114.85333333333332,120.21277777777777
09/10/2020,1.4899999999999949,114.778,120.00677777777777
09/09/2020,3.8299999999999983,114.79299999999999,119.88999999999999
09/08/2020,-4.5,114.63666666666667,119.73088888888887
09/04/2020,8.14,114.80266666666667,119.64255555555556
09/03/2020,-0.0799999999999983,114.86466666666666,119.53133333333334
09/02/2020,10.52000000000001,115.221,119.56022222222222
09/01/2020,2.780000000000001,115.654,119.618
08/31/2020,-5.140000000000015,115.91866666666667,119.58455555555557
08/28/2020,-4.22999999999999,115.93233333333333,119.51666666666667
08/27/2020,0.20000000000000284,116.20033333333335,119.499
08/26/2020,1.509999999999991,116.58533333333334,119.44911111111111
08/25/2020,-1.6899999999999977,116.91033333333333,119.39822222222223
08/24/2020,1.0300000000000011,117.33366666666667,119.32233333333333
08/21/2020,-1.4899999999999949,117.596,119.21844444444444
08/20/2020,-6.090000000000003,117.77133333333333,119.0341111111111
08/19/2020,-2.5700000000000074,117.73533333333333,118.801
08/18/2020,-0.14999999999999147,117.727,118.61866666666667
08/17/2020,-0.9500000000000028,117.74433333333333,118.437
08/14/2020,0.29999999999999716,117.74266666666666,118.24844444444443
08/13/2020,0.10000000000000853,117.83366666666667,118.10155555555555
08/12/2020,-2.0,117.99333333333333,117.94988888888889
08/11/2020,-3.6300000000000097,118.06866666666666,117.73522222222222
08/10/2020,3.3500000000000085,118.09933333333333,117.56766666666667
08/07/2020,-1.6200000000000045,118.13366666666667,117.38133333333333
08/06/2020,2.7900000000000063,118.369,117.29377777777778
08/05/2020,-3.8400000000000034,118.35966666666667,117.15655555555556
08/04/2020,-0.39000000000000057,118.27766666666668,117.00577777777778
08/03/2020,-0.730000000000004,118.05766666666666,116.86311111111111
07/31/2020,-2.6799999999999926,117.75433333333334,116.66177777777779
07/30/2020,-10.070000000000007,117.22733333333333,116.35555555555555
07/29/2020,-1.1499999999999915,116.61233333333332,116.05322222222223
07/28/2020,-1.7900000000000063,115.81,115.72333333333334
07/27/2020,1.5600000000000023,115.20966666666666,115.40922222222223
07/24/2020,-2.200000000000003,114.26466666666667,115.07466666666667
07/23/2020,0.23000000000000398,113.33,114.78344444444444
07/22/2020,4.429999999999993,112.19233333333334,114.56877777777777
07/21/2020,-0.269999999999996,110.953,114.35733333333333
07/20/2020,1.3599999999999994,109.93033333333332,114.17055555555557
07/17/2020,-2.030000000000001,108.981,113.97588888888889
07/16/2020,0.18999999999999773,108.03133333333332,113.74455555555556
07/15/2020,1.2000000000000028,107.07133333333333,113.51211111111111
07/14/2020,-0.6599999999999966,106.14566666666666,113.27911111111112
07/13/2020,-1.5799999999999983,105.13300000000001,113.01344444444446
07/10/2020,0.4399999999999977,104.18466666666667,112.74255555555555
07/09/2020,-0.23999999999999488,103.43133333333334,112.48055555555555
07/08/2020,-0.3400000000000034,102.75233333333334,112.21533333333332
07/07/2020,-2.1700000000000017,102.00600000000001,111.92288888888888
07/06/2020,0.28999999999999204,101.301,111.67277777777777
07/02/2020,-2.4299999999999926,100.50500000000001,111.39177777777778
07/01/2020,0.0,99.70566666666667,111.08444444444444
06/30/2020,0.1700000000000017,98.97866666666667,110.77522222222223
06/29/2020,-0.7600000000000051,98.34733333333334,110.50288888888889
06/26/2020,-2.030000000000001,97.53666666666666,110.25811111111112
06/25/2020,2.799999999999997,96.87333333333332,110.063
06/24/2020,-1.1899999999999977,96.07733333333333,109.85366666666667
06/23/2020,1.6099999999999994,95.463,109.59044444444444
06/22/2020,-1.9099999999999966,94.798,109.35177777777777
06/19/2020,-2.289999999999992,94.08099999999999,109.02766666666666
06/18/2020,0.5,93.47,108.72633333333332
06/17/2020,-0.030000000000001137,93.19366666666666,108.42477777777779
06/16/2020,0.11999999999999034,92.95966666666666,108.11666666666666
06/15/2020,-2.269999999999996,92.70966666666666,107.77088888888888
06/12/2020,-1.0499999999999972,92.37266666666667,107.40633333333334
06/11/2020,-0.730000000000004,92.08466666666666,107.05066666666666
06/10/2020,4.239999999999995,91.93033333333332,106.70833333333333
06/09/2020,-2.2099999999999937,91.55466666666666,106.32266666666668
06/08/2020,-2.6400000000000006,91.1,105.90233333333332
06/05/2020,-0.480000000000004,90.584,105.47766666666666
06/04/2020,-2.299999999999997,90.05900000000001,104.99077777777778
06/03/2020,0.7000000000000028,89.55099999999999,104.59422222222224
06/02/2020,-0.45000000000000284,88.988,104.2148888888889
06/01/2020,-0.37000000000000455,88.43466666666667,103.83022222222222
05/29/2020,-0.9799999999999898,87.90133333333333,103.45599999999999
05/28/2020,0.0799999999999983,87.356,103.04555555555557
05/27/2020,-0.030000000000001137,86.81766666666667,102.67344444444446
05/26/2020,-0.3499999999999943,86.279,102.25555555555556
05/22/2020,0.539999999999992,85.83066666666667,101.85455555555555
05/21/2020,-0.5100000000000051,85.35566666666666,101.46700000000001
05/20/2020,0.6000000000000085,84.98166666666667,101.07644444444443
05/19/2020,-1.5300000000000011,84.55666666666666,100.69866666666668
05/18/2020,0.45999999999999375,84.14133333333334,100.3711111111111
05/15/2020,-1.809999999999988,83.691,100.03566666666667
05/14/2020,0.45999999999999375,83.32366666666667,99.65322222222221
05/13/2020,-0.480000000000004,82.84700000000001,99.28466666666665
05/12/2020,0.9399999999999977,82.44133333333335,98.96255555555555
05/11/2020,0.9000000000000057,82.012,98.61155555555557
05/08/2020,-1.2199999999999989,81.60566666666665,98.22711111111111
05/07/2020,-1.5900000000000034,81.22266666666665,97.78711111111112
05/06/2020,-0.7800000000000011,80.79700000000001,97.34044444444444
05/05/2020,-0.769999999999996,80.34666666666666,96.92255555555556
05/04/2020,-1.0999999999999943,79.85566666666666,96.47588888888889
05/01/2020,-1.0200000000000102,79.40633333333334,95.97533333333334
04/30/2020,1.1800000000000068,79.03133333333332,95.53788888888889
04/29/2020,-1.519999999999996,78.63000000000001,94.9931111111111
04/28/2020,-2.2900000000000063,78.011,94.42377777777779
04/27/2020,1.1500000000000057,77.50399999999999,93.75033333333332
04/24/2020,-0.05000000000001137,77.08333333333333,93.04544444444444
04/23/2020,-1.9799999999999898,76.61266666666667,92.37566666666666
04/22/2020,0.269999999999996,76.22766666666668,91.75588888888888
04/21/2020,-1.9399999999999977,75.75466666666667,91.11233333333334
04/20/2020,2.1400000000000006,75.368,90.47577777777778
