Date,Price,Price After Diff,MA30 Before Diff,MA90 Before Diff
2015-01-02,46.246,,,
2015-01-05,57.23,10.983999999999995,,
2015-01-06,53.183,-4.046999999999997,,
2015-01-07,48.559,-4.624000000000002,,
2015-01-08,49.715,1.156000000000006,,
2015-01-09,52.605,2.8899999999999935,,
2015-01-12,54.339,1.7340000000000018,,
2015-01-13,48.559,-5.780000000000001,,
2015-01-14,50.293,1.7340000000000018,,
2015-01-15,47.981,-2.3119999999999976,,
2015-01-16,50.871,2.8900000000000006,,
2015-01-19,47.981,-2.8900000000000006,,
2015-01-20,50.871,2.8900000000000006,,
2015-01-21,49.715,-1.1559999999999988,,
2015-01-22,46.246,-3.469000000000001,,
2015-01-23,48.559,2.3129999999999953,,
2015-01-26,46.246,-2.3129999999999953,,
2015-01-27,43.934,-2.3120000000000047,,
2015-01-28,49.137,5.203000000000003,,
2015-01-29,48.559,-0.578000000000003,,
2015-01-30,49.715,1.156000000000006,,
2015-02-02,49.715,0.0,,
2015-02-03,48.559,-1.156000000000006,,
2015-02-04,48.559,0.0,,
2015-02-05,47.402,-1.1569999999999965,,
2015-02-06,47.402,0.0,,
2015-02-09,47.402,0.0,,
2015-02-10,47.402,0.0,,
2015-02-11,43.356,-4.045999999999999,,
2015-02-12,45.668,2.3119999999999976,48.86696666666667,
2015-02-13,42.778,-2.8900000000000006,48.75136666666666,
2015-02-17,53.183,10.405000000000001,48.616466666666675,
2015-02-18,52.027,-1.1559999999999988,48.577933333333334,
2015-02-19,57.808,5.780999999999999,48.88623333333333,
2015-02-20,73.994,16.186,49.69553333333333,
2015-02-23,64.745,-9.248999999999995,50.1002,
2015-02-24,57.808,-6.937000000000005,50.215833333333336,
2015-02-25,47.981,-9.826999999999998,50.19656666666667,
2015-02-26,46.824,-1.1570000000000036,50.08093333333333,
2015-02-27,49.137,2.3130000000000024,50.11946666666667,
2015-03-02,53.183,4.045999999999999,50.19653333333334,
2015-03-03,48.559,-4.624000000000002,50.21580000000001,
2015-03-04,48.559,0.0,50.138733333333334,
2015-03-05,47.402,-1.1569999999999965,50.06163333333334,
2015-03-06,49.715,2.3130000000000024,50.17726666666667,
2015-03-09,45.09,-4.625,50.06163333333333,
2015-03-10,44.512,-0.578000000000003,50.00383333333333,
2015-03-11,44.512,0.0,50.0231,
2015-03-12,45.09,0.578000000000003,49.8882,
2015-03-13,45.09,0.0,49.77256666666667,
2015-03-16,43.934,-1.156000000000006,49.57986666666667,
2015-03-17,42.778,-1.1559999999999988,49.34863333333333,
2015-03-18,40.465,-2.3129999999999953,49.078833333333336,
2015-03-19,40.465,0.0,48.80903333333334,
2015-03-20,43.356,2.8909999999999982,48.67416666666667,
2015-03-23,42.778,-0.578000000000003,48.52003333333333,
2015-03-24,41.044,-1.7340000000000018,48.308099999999996,
2015-03-25,41.622,0.578000000000003,48.11543333333334,
2015-03-26,41.622,0.0,48.05763333333333,
2015-03-27,41.044,-0.578000000000003,47.9035,
2015-03-30,42.2,1.156000000000006,47.884233333333334,
2015-03-31,40.465,-1.7349999999999994,47.4603,
2015-04-01,41.044,0.5789999999999935,47.0942,
2015-04-02,39.309,-1.7349999999999994,46.47756666666667,
2015-04-06,39.309,0.0,45.321400000000004,
2015-04-07,38.153,-1.1559999999999988,44.434999999999995,
2015-04-08,35.263,-2.8900000000000006,43.683499999999995,
2015-04-09,34.685,-0.5779999999999959,43.2403,
2015-04-10,35.841,1.1559999999999988,42.8742,
2015-04-13,34.685,-1.1559999999999988,42.392466666666664,
2015-04-14,35.263,0.5779999999999959,41.795133333333325,
2015-04-15,35.841,0.578000000000003,41.3712,
2015-04-16,34.685,-1.1559999999999988,40.90873333333333,
2015-04-17,45.09,10.405000000000001,40.83166666666667,
2015-04-20,52.027,6.936999999999998,40.90873333333333,
2015-04-21,45.09,-6.936999999999998,40.90873333333334,
2015-04-22,52.027,6.936999999999998,41.15923333333333,
2015-04-23,45.668,-6.359000000000002,41.197766666666666,
2015-04-24,49.715,4.047000000000004,41.351933333333335,
2015-04-27,48.559,-1.156000000000006,41.46756666666667,
2015-04-28,49.715,1.156000000000006,41.660266666666665,
2015-04-29,49.715,0.0,41.89149999999999,
2015-04-30,46.246,-3.469000000000001,42.0842,
2015-05-01,46.246,0.0,42.276900000000005,
2015-05-04,46.246,0.0,42.37323333333333,
2015-05-05,46.246,0.0,42.48883333333334,
2015-05-06,46.246,0.0,42.66223333333333,
2015-05-07,46.246,0.0,42.81636666666667,
2015-05-08,47.981,1.7349999999999994,43.028333333333336,
2015-05-11,45.668,-2.3130000000000024,43.18246666666666,46.650977777777776
2015-05-12,43.934,-1.7340000000000018,43.24026666666667,46.62528888888889
2015-05-13,45.09,1.156000000000006,43.39443333333334,46.49040000000001
2015-05-14,40.465,-4.625,43.37513333333333,46.34908888888889
2015-05-15,42.778,2.3129999999999953,43.490766666666666,46.28485555555556
2015-05-19,41.622,-1.1559999999999988,43.56786666666667,46.19493333333333
2015-05-20,41.622,0.0,43.6835,46.072900000000004
2015-05-21,39.309,-2.3130000000000024,43.81836666666667,45.9059
2015-05-22,39.309,0.0,43.972500000000004,45.80312222222222
2015-05-25,36.997,-2.3119999999999976,44.01103333333333,45.65538888888889
2015-05-26,37.575,0.578000000000003,44.107366666666664,45.539766666666665
2015-05-27,36.997,-0.578000000000003,44.16516666666667,45.38561111111111
2015-05-28,34.685,-2.3119999999999976,44.12663333333333,45.237877777777776
2015-05-29,36.419,1.7339999999999947,44.18443333333334,45.0773
